
Loaded 8442 rows (all programs, all sheets).
Compiling with 20 parallel workers.
  [5900/8442] compiled=5871 failed=29 unspecified=341 cost=$275.33
  [5925/8442] compiled=5896 failed=29 unspecified=343 cost=$276.49
  [5950/8442] compiled=5921 failed=29 unspecified=343 cost=$277.66
  [5975/8442] compiled=5946 failed=29 unspecified=343 cost=$278.84
  [6000/8442] compiled=5971 failed=29 unspecified=343 cost=$280.01
  [checkpoint] 5971 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [6025/8442] compiled=5996 failed=29 unspecified=344 cost=$281.17
  [6050/8442] compiled=6021 failed=29 unspecified=346 cost=$282.33
  [6075/8442] compiled=6046 failed=29 unspecified=348 cost=$283.49
  [6100/8442] compiled=6071 failed=29 unspecified=349 cost=$284.66
  [6125/8442] compiled=6096 failed=29 unspecified=349 cost=$285.85
  [6150/8442] compiled=6121 failed=29 unspecified=350 cost=$287.04
  [6175/8442] compiled=6146 failed=29 unspecified=352 cost=$288.22
  [6200/8442] compiled=6171 failed=29 unspecified=357 cost=$289.39
  [6225/8442] compiled=6196 failed=29 unspecified=358 cost=$290.55
  [6250/8442] compiled=6221 failed=29 unspecified=359 cost=$291.72
  [checkpoint] 6221 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [6275/8442] compiled=6246 failed=29 unspecified=360 cost=$292.88
  [6300/8442] compiled=6271 failed=29 unspecified=361 cost=$294.05
  [6325/8442] compiled=6296 failed=29 unspecified=362 cost=$295.23
  [6350/8442] compiled=6321 failed=29 unspecified=363 cost=$296.38
  [6375/8442] compiled=6346 failed=29 unspecified=364 cost=$297.55
  [6400/8442] compiled=6371 failed=29 unspecified=364 cost=$298.72
  [6425/8442] compiled=6395 failed=30 unspecified=366 cost=$299.89
  [6450/8442] compiled=6420 failed=30 unspecified=366 cost=$301.06
  [6475/8442] compiled=6445 failed=30 unspecified=367 cost=$302.23
  [6500/8442] compiled=6470 failed=30 unspecified=367 cost=$303.40
  [checkpoint] 6470 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [6525/8442] compiled=6495 failed=30 unspecified=368 cost=$304.57
  [6550/8442] compiled=6520 failed=30 unspecified=369 cost=$305.74
  [6575/8442] compiled=6545 failed=30 unspecified=369 cost=$306.90
  [6600/8442] compiled=6570 failed=30 unspecified=369 cost=$308.06
  [6625/8442] compiled=6595 failed=30 unspecified=369 cost=$309.22
  [6650/8442] compiled=6620 failed=30 unspecified=370 cost=$310.38
  [6675/8442] compiled=6645 failed=30 unspecified=373 cost=$311.55
  [6700/8442] compiled=6670 failed=30 unspecified=373 cost=$312.71
  [6725/8442] compiled=6694 failed=31 unspecified=375 cost=$313.88
  [6750/8442] compiled=6719 failed=31 unspecified=379 cost=$315.04
  [checkpoint] 6719 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [6775/8442] compiled=6744 failed=31 unspecified=381 cost=$316.19
  [6800/8442] compiled=6769 failed=31 unspecified=381 cost=$317.35
  [6825/8442] compiled=6794 failed=31 unspecified=381 cost=$318.52
  [6850/8442] compiled=6819 failed=31 unspecified=381 cost=$319.68
  [6875/8442] compiled=6844 failed=31 unspecified=381 cost=$320.84
  [6900/8442] compiled=6868 failed=32 unspecified=387 cost=$322.03
  [6925/8442] compiled=6893 failed=32 unspecified=391 cost=$323.22
  [6950/8442] compiled=6917 failed=33 unspecified=394 cost=$324.39
  [6975/8442] compiled=6942 failed=33 unspecified=397 cost=$325.56
  [7000/8442] compiled=6967 failed=33 unspecified=403 cost=$326.75
  [checkpoint] 6967 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [7025/8442] compiled=6992 failed=33 unspecified=403 cost=$327.92
  [7050/8442] compiled=7017 failed=33 unspecified=406 cost=$329.11
  [7075/8442] compiled=7042 failed=33 unspecified=409 cost=$330.28
  [7100/8442] compiled=7067 failed=33 unspecified=409 cost=$331.46
  [7125/8442] compiled=7092 failed=33 unspecified=415 cost=$332.64
  [7150/8442] compiled=7117 failed=33 unspecified=415 cost=$333.82
  [7175/8442] compiled=7142 failed=33 unspecified=418 cost=$335.00
  [7200/8442] compiled=7167 failed=33 unspecified=419 cost=$336.17
  [7225/8442] compiled=7192 failed=33 unspecified=421 cost=$337.34
  [7250/8442] compiled=7217 failed=33 unspecified=423 cost=$338.52
  [checkpoint] 7217 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [7275/8442] compiled=7242 failed=33 unspecified=424 cost=$339.70
  [7300/8442] compiled=7266 failed=34 unspecified=426 cost=$340.88
  [7325/8442] compiled=7291 failed=34 unspecified=428 cost=$342.06
  [7350/8442] compiled=7316 failed=34 unspecified=430 cost=$343.24
  [7375/8442] compiled=7341 failed=34 unspecified=432 cost=$344.41
  [7400/8442] compiled=7366 failed=34 unspecified=433 cost=$345.60
  [7425/8442] compiled=7391 failed=34 unspecified=434 cost=$346.78
  [7450/8442] compiled=7416 failed=34 unspecified=434 cost=$347.97
  [7475/8442] compiled=7441 failed=34 unspecified=434 cost=$349.13
  [7500/8442] compiled=7466 failed=34 unspecified=436 cost=$350.30
  [checkpoint] 7466 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [7525/8442] compiled=7491 failed=34 unspecified=436 cost=$351.46
  [7550/8442] compiled=7516 failed=34 unspecified=436 cost=$352.62
  [7575/8442] compiled=7541 failed=34 unspecified=436 cost=$353.79
  [7600/8442] compiled=7566 failed=34 unspecified=436 cost=$354.96
  [7625/8442] compiled=7591 failed=34 unspecified=436 cost=$356.12
  [7650/8442] compiled=7616 failed=34 unspecified=437 cost=$357.27
  [7675/8442] compiled=7641 failed=34 unspecified=437 cost=$358.43
  [7700/8442] compiled=7666 failed=34 unspecified=438 cost=$359.59
  [7725/8442] compiled=7691 failed=34 unspecified=438 cost=$360.76
  [7750/8442] compiled=7716 failed=34 unspecified=439 cost=$361.94
  [checkpoint] 7716 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [7775/8442] compiled=7741 failed=34 unspecified=439 cost=$363.10
  [7800/8442] compiled=7766 failed=34 unspecified=439 cost=$364.27
  [7825/8442] compiled=7791 failed=34 unspecified=439 cost=$365.43
  [7850/8442] compiled=7814 failed=36 unspecified=439 cost=$366.59
  [7875/8442] compiled=7839 failed=36 unspecified=439 cost=$367.77
  [7900/8442] compiled=7864 failed=36 unspecified=439 cost=$368.93
  [7925/8442] compiled=7889 failed=36 unspecified=439 cost=$370.09
  [7950/8442] compiled=7914 failed=36 unspecified=439 cost=$371.26
  [7975/8442] compiled=7939 failed=36 unspecified=440 cost=$372.42
  [8000/8442] compiled=7964 failed=36 unspecified=440 cost=$373.60
